Feature,Estimate,Std Error,t-stat,p-Value
Intercept, 81494.2263,68.8184, 76.9434, 0.0000
MIN_YEARS_EXPERIENCE, 5295.1235,1039.3749, 15.7299, 0.0000
EDU_IDX, 16349.3037,475.0494,-13.4577, 0.0000
SKILLS_VEC_0,-6393.0697,507.7155, 0.6239, 0.5327
SKILLS_VEC_1, 316.7825,487.9909, 4.4302, 0.0000
SKILLS_VEC_2, 2161.8749,511.1924, 3.5119, 0.0004
SKILLS_VEC_3, 1795.2350,565.2219, 0.5203, 0.6029
SKILLS_VEC_4, 294.0726,652.4923, 5.2266, 0.0000
SKILLS_VEC_5, 3410.3279,485.5897, 3.1029, 0.0019
SKILLS_VEC_6, 1506.7280,535.1977, 1.6357, 0.1019
SKILLS_VEC_7, 875.4063,555.4264,-7.8195, 0.0000
SKILLS_VEC_8,-4343.1490,570.1256, 3.6766, 0.0002
SKILLS_VEC_9, 2096.1510,567.8682, 2.5728, 0.0101
SKILLS_VEC_10, 1460.9929,560.8019,-2.6610, 0.0078
SKILLS_VEC_11,-1492.3102,625.4805, 0.2789, 0.7803
SKILLS_VEC_12, 174.4694,567.9758,-1.3675, 0.1715
SKILLS_VEC_13,-776.7008,607.1557,-0.1031, 0.9179
SKILLS_VEC_14,-62.6154,554.2205,-3.5685, 0.0004
SKILLS_VEC_15,-1977.7589,673.9597, 1.1089, 0.2675
SKILLS_VEC_16, 747.3319,613.3862,-0.4182, 0.6758
SKILLS_VEC_17,-256.5476,613.4434, 6.0683, 0.0000
SKILLS_VEC_18, 3722.5332,687.0696, 3.6432, 0.0003
SKILLS_VEC_19, 2503.1398,735.2653,-4.4227, 0.0000
SKILLS_VEC_20,-3251.8384,784.4092, 10.6843, 0.0000
SKILLS_VEC_21, 8380.8894,709.9494, 4.1769, 0.0000
SKILLS_VEC_22, 2965.3580,630.9133,-4.9249, 0.0000
SKILLS_VEC_23,-3107.1540,637.4196,-0.3040, 0.7612
SKILLS_VEC_24,-193.7523,719.2090, 0.4271, 0.6693
SKILLS_VEC_25, 307.1651,627.3589,-2.4209, 0.0155
SKILLS_VEC_26,-1518.7647,698.3966, 2.2492, 0.0245
SKILLS_VEC_27, 1570.8152,781.8449, 1.2866, 0.1982
SKILLS_VEC_28, 1005.9138,705.7938,-6.4495, 0.0000
SKILLS_VEC_29,-4552.0106,854.0584,-1.3248, 0.1853
SKILLS_VEC_30,-1131.4339,711.4508,-4.3392, 0.0000
SKILLS_VEC_31,-3087.1310,681.2537,-0.8778, 0.3801
SKILLS_VEC_32,-597.9985,799.2332, 5.9657, 0.0000
SKILLS_VEC_33, 4767.9457,921.0596, 6.6937, 0.0000
SKILLS_VEC_34, 6165.2770,866.7767, 3.8552, 0.0001
SKILLS_VEC_35, 3341.5759,826.5114,-5.1919, 0.0000
SKILLS_VEC_36,-4291.1975,792.7660,-0.0094, 0.9925
SKILLS_VEC_37,-7.4625,745.0445,-2.9561, 0.0031
SKILLS_VEC_38,-2202.4189,966.0420,-0.0787, 0.9373
SKILLS_VEC_39,-75.9849,820.0430,-1.3309, 0.1832
SKILLS_VEC_40,-1091.4292,971.3283, 1.2083, 0.2270
SKILLS_VEC_41, 1173.6192,798.1449,-1.7617, 0.0781
SKILLS_VEC_42,-1406.0772,829.4331,-2.5382, 0.0111
SKILLS_VEC_43,-2105.2457,799.5659,-0.0894, 0.9287
SKILLS_VEC_44,-71.4965,923.0911, 0.5338, 0.5935
SKILLS_VEC_45, 492.7240,797.6483, 0.6848, 0.4935
SKILLS_VEC_46, 546.2454,1168.5356, 8.1876, 0.0000
SKILLS_VEC_47, 9567.5295,996.4462, 1.7213, 0.0852
SKILLS_VEC_48, 1715.1682,949.1442, 1.5592, 0.1190
SKILLS_VEC_49, 1479.9249,920.6550, 5.3941, 0.0000
SKILLS_VEC_50, 4966.0834,949.5365,-1.2205, 0.2223
SKILLS_VEC_51,-1158.9157,1224.3762, 5.5333, 0.0000
SKILLS_VEC_52, 6774.7937,915.4424,-0.7440, 0.4569
SKILLS_VEC_53,-681.0769,851.5756, 4.3502, 0.0000
SKILLS_VEC_54, 3704.5101,1115.5993, 0.5819, 0.5606
SKILLS_VEC_55, 649.2176,1024.3945, 1.5721, 0.1159
SKILLS_VEC_56, 1610.4802,1205.5048,-7.6791, 0.0000
SKILLS_VEC_57,-9257.1496,1022.2547, 6.5671, 0.0000
SKILLS_VEC_58, 6713.2044,978.2828, 0.7658, 0.4438
SKILLS_VEC_59, 749.1800,919.4011, 1.6837, 0.0922
SKILLS_VEC_60, 1548.0269,946.2852, 1.8576, 0.0632
SKILLS_VEC_61, 1757.8503,1066.9951, 0.6890, 0.4908
SKILLS_VEC_62, 735.1601,902.8668,-0.5074, 0.6119
SKILLS_VEC_63,-458.1001,954.4376, 1.6639, 0.0962
SKILLS_VEC_64, 1588.0457,908.2716,-0.5146, 0.6069
SKILLS_VEC_65,-467.3726,963.0776, 6.4454, 0.0000
SKILLS_VEC_66, 6207.4231,1012.3254, 3.3663, 0.0008
SKILLS_VEC_67, 3407.7776,993.2217,-0.9950, 0.3197
SKILLS_VEC_68,-988.3050,1003.3997, 1.2809, 0.2002
SKILLS_VEC_69, 1285.2662,1004.5750,-3.7083, 0.0002
SKILLS_VEC_70,-3725.2674,1097.3780, 4.8574, 0.0000
SKILLS_VEC_71, 5330.4474,961.4598, 6.8457, 0.0000
SKILLS_VEC_72, 6581.8484,1227.7017,-2.4293, 0.0151
SKILLS_VEC_73,-2982.4101,1046.2157, 2.0693, 0.0385
SKILLS_VEC_74, 2164.9089,1100.5033,-1.0056, 0.3146
SKILLS_VEC_75,-1106.6350,1324.5409, 0.8879, 0.3746
SKILLS_VEC_76, 1176.0311,1054.6338,-0.2858, 0.7750
SKILLS_VEC_77,-301.4564,1053.6962, 3.1118, 0.0019
SKILLS_VEC_78, 3278.9059,1105.3327, 8.6373, 0.0000
SKILLS_VEC_79, 9547.0495,1182.1040,-0.6946, 0.4873
SKILLS_VEC_80,-821.0990,976.8594, 1.3201, 0.1868
